"";"id1";"id2";"tradeno";"bid1";"bid2";"payoff1";"payoff2"
"1";10;7;1;"cooperate";"cooperate";4;4
"2";14;9;2;"defect";"defect";2;2
"3";6;5;3;"cooperate";"cooperate";4;4
"4";1;4;4;"cooperate";"cooperate";4;4
"5";11;12;5;"cooperate";"defect";0;5
"6";3;15;6;"defect";"cooperate";5;0
"7";16;8;7;"cooperate";"cooperate";4;4
"8";2;13;8;"cooperate";"cooperate";4;4
"9";5;14;9;"cooperate";"cooperate";4;4
"10";16;9;10;"cooperate";"defect";0;5
"11";8;1;11;"cooperate";"cooperate";4;4
"12";11;12;12;"defect";"defect";2;2
"13";10;2;13;"cooperate";"cooperate";4;4
"14";13;6;14;"cooperate";"cooperate";4;4
"15";3;15;15;"defect";"cooperate";5;0
"16";7;4;16;"cooperate";"cooperate";4;4
"17";6;15;17;"cooperate";"cooperate";4;4
"18";3;11;18;"defect";"defect";2;2
"19";2;16;19;"cooperate";"cooperate";4;4
"20";9;8;20;"defect";"defect";2;2
"21";5;13;21;"cooperate";"cooperate";4;4
"22";1;14;22;"cooperate";"cooperate";4;4
"23";4;12;23;"cooperate";"defect";0;5
"24";7;10;24;"cooperate";"cooperate";4;4
"25";12;11;25;"cooperate";"cooperate";4;4
"26";10;15;26;"cooperate";"cooperate";4;4
"27";3;2;27;"defect";"cooperate";5;0
"28";14;4;28;"cooperate";"cooperate";4;4
"29";1;9;29;"cooperate";"defect";0;5
"30";5;7;30;"cooperate";"cooperate";4;4
"31";6;16;31;"cooperate";"cooperate";4;4
"32";8;13;32;"cooperate";"cooperate";4;4
"33";16;3;33;"cooperate";"defect";0;5
"34";13;2;34;"defect";"cooperate";5;0
"35";6;11;35;"cooperate";"cooperate";4;4
"36";8;12;36;"cooperate";"defect";0;5
"37";10;5;37;"cooperate";"cooperate";4;4
"38";14;9;38;"defect";"defect";2;2
"39";4;15;39;"cooperate";"cooperate";4;4
"40";7;1;40;"cooperate";"cooperate";4;4
"41";5;16;41;"cooperate";"cooperate";4;4
"42";1;10;42;"cooperate";"cooperate";4;4
"43";9;3;43;"defect";"defect";2;2
"44";15;14;44;"cooperate";"cooperate";4;4
"45";2;13;45;"cooperate";"cooperate";4;4
"46";6;4;46;"cooperate";"cooperate";4;4
"47";11;7;47;"cooperate";"cooperate";4;4
"48";8;12;48;"cooperate";"defect";0;5
"49";11;1;49;"cooperate";"cooperate";4;4
"50";13;16;50;"cooperate";"cooperate";4;4
"51";9;14;51;"defect";"defect";2;2
"52";15;5;52;"cooperate";"cooperate";4;4
"53";7;8;53;"cooperate";"cooperate";4;4
"54";12;10;54;"defect";"cooperate";5;0
"55";4;6;55;"cooperate";"defect";0;5
"56";2;3;56;"cooperate";"defect";0;5
"57";13;7;57;"cooperate";"cooperate";4;4
"58";8;4;58;"cooperate";"cooperate";4;4
"59";1;16;59;"cooperate";"cooperate";4;4
"60";12;9;60;"defect";"defect";2;2
"61";15;14;61;"cooperate";"defect";0;5
"62";11;5;62;"cooperate";"cooperate";4;4
"63";3;10;63;"defect";"cooperate";5;0
"64";2;6;64;"cooperate";"cooperate";4;4
"65";13;11;65;"cooperate";"cooperate";4;4
"66";14;5;66;"defect";"cooperate";5;0
"67";8;4;67;"cooperate";"cooperate";4;4
"68";6;1;68;"cooperate";"cooperate";4;4
"69";16;3;69;"cooperate";"defect";0;5
"70";7;12;70;"cooperate";"defect";0;5
"71";9;15;71;"defect";"cooperate";5;0
"72";2;10;72;"cooperate";"cooperate";4;4
"73";7;13;73;"cooperate";"defect";0;5
"74";2;8;74;"cooperate";"cooperate";4;4
"75";12;1;75;"defect";"cooperate";5;0
"76";14;10;76;"cooperate";"cooperate";4;4
"77";5;6;77;"cooperate";"defect";0;5
"78";15;4;78;"cooperate";"cooperate";4;4
"79";3;16;79;"defect";"cooperate";5;0
"80";11;9;80;"defect";"defect";2;2
"81";9;15;81;"defect";"cooperate";5;0
"82";3;6;82;"defect";"defect";2;2
"83";5;1;83;"cooperate";"cooperate";4;4
"84";10;14;84;"cooperate";"defect";0;5
"85";13;2;85;"cooperate";"cooperate";4;4
"86";4;8;86;"cooperate";"cooperate";4;4
"87";7;12;87;"cooperate";"defect";0;5
"88";11;16;88;"cooperate";"cooperate";4;4
"89";1;12;89;"cooperate";"defect";0;5
"90";2;10;90;"cooperate";"cooperate";4;4
"91";11;13;91;"defect";"defect";2;2
"92";5;3;92;"cooperate";"defect";0;5
"93";6;14;93;"cooperate";"cooperate";4;4
"94";16;9;94;"cooperate";"defect";0;5
"95";15;7;95;"cooperate";"cooperate";4;4
"96";8;4;96;"cooperate";"cooperate";4;4
"97";15;16;97;"cooperate";"cooperate";4;4
"98";12;3;98;"defect";"defect";2;2
"99";4;5;99;"cooperate";"cooperate";4;4
"100";6;14;100;"defect";"defect";2;2
"101";11;7;101;"defect";"cooperate";5;0
"102";10;2;102;"cooperate";"cooperate";4;4
"103";9;1;103;"defect";"cooperate";5;0
"104";13;8;104;"defect";"cooperate";5;0
"105";9;8;105;"defect";"defect";2;2
"106";14;2;106;"cooperate";"cooperate";4;4
"107";15;1;107;"cooperate";"cooperate";4;4
"108";10;16;108;"cooperate";"cooperate";4;4
"109";7;3;109;"defect";"defect";2;2
"110";12;13;110;"defect";"cooperate";5;0
"111";4;6;111;"defect";"cooperate";5;0
"112";11;5;112;"defect";"cooperate";5;0
"113";2;9;113;"cooperate";"defect";0;5
"114";13;5;114;"defect";"cooperate";5;0
"115";16;8;115;"cooperate";"cooperate";4;4
"116";12;11;116;"cooperate";"cooperate";4;4
"117";14;7;117;"cooperate";"cooperate";4;4
"118";1;3;118;"cooperate";"defect";0;5
"119";10;4;119;"cooperate";"cooperate";4;4
"120";6;15;120;"defect";"cooperate";5;0
"121";9;13;121;"defect";"defect";2;2
"122";3;2;122;"defect";"cooperate";5;0
"123";10;8;123;"cooperate";"cooperate";4;4
"124";7;15;124;"cooperate";"cooperate";4;4
"125";5;14;125;"cooperate";"cooperate";4;4
"126";11;16;126;"defect";"cooperate";5;0
"127";1;4;127;"cooperate";"cooperate";4;4
